,Description,commenting,ogling,groping,cleaned_text
3289,I was proposed by one of my friend. I said no to him due to this he distributed my number to his friends and they started to text me. I blocked their number afterwards.,0,0,0,proposed one friend said no due distributed number friend started text blocked number afterwards
3290,Someone touched me in the afternoon.,1,0,1,someone touched afternoon
3291,Kurla station very dimly lit and very unsafe,0,0,0,kurla station dimly lit unsafe
3292,"Somebody pinched me when I was waiting for the train at Kurla station. Platform 7, Kurla Station.",0,0,1,somebody pinched waiting train kurla station platform 7 kurla station
3293,"At Andheri Station, an incident of cat calling took place.",0,0,0,andheri station incident cat calling took place
3294,when i was walking back to my home some boys were commenting on me. they were asking numbers and they were taking pictures.,1,0,0,walking back home boy commenting asking number taking picture
3295,"On morning,Touching",1,1,1,morning touching
3296,He touched me inappropriately,0,0,1,touched inappropriately
3297,"Dirty stares, deliberate pushing and touching. Morning and evening at the stations.",0,1,1,dirty stare deliberate pushing touching morning evening station
3298,Two boys were staring at me very badly. I felt so uncomfortable table and moved from that place.,0,1,0,two boy staring badly felt uncomfortable table moved place
3299,I was being ogled at while travelling in the metro.,1,0,1,ogled travelling metro
3300,while crossing road infront of my college.,1,1,0,crossing road infront college
3301,"This incident occurred 6 months ago but i still feel it was yesterday because the shock was too bad.I was returning from my yoga class at 8 am. Normally I am with friends but that day I was alone. I walked past the church on the way home and 2 boys on a bike came towards me. They touched me and were staring at my chain and purse which I had in my hand. They could not snatch it at that time but they followed me and were staring at me.I stood there for a little while and was looking at them. The boy in the pillion seat continued to look at me but then they went away. I started walking back home. As I reached the Hanuman Temple, 2 other boys came from the opposite side on the bike. They stopped the bike and the pillion rider asked me where is the hardware shop. I told them I didn't know and they could ask someone else. Very few shops were open at that hour and there were very few people on the road. They said it was ok and just started moving.Suddenly the pillion rider grabbed my chain but fortunately he grabbed my dress instead and I used my presence of mind to lift my hand and hold onto my chain. My sleeve tore in the process and there were nail scratches on my upper arm. God saved me and my chain. They sped away on the bike.It appeared that the 2 boys on the first bike and the 2 on the second bike were working together in tandem. Many such incidents have occurred on this road. Now there is a policeman posted opposite the church.",0,0,1,incident occurred 6 month ago still feel yesterday shock bad returning yoga class 8 normally friend day alone walked past church way home 2 boy bike came towards touched staring chain purse hand could not snatch time followed staring stood little looking boy pillion seat continued look went away started walking back home reached hanuman temple 2 boy came opposite side bike stopped bike pillion rider asked hardware shop told know could ask someone else shop open hour people road said ok started moving suddenly pillion rider grabbed chain fortunately grabbed dress instead used presence mind lift hand hold onto chain sleeve tore process nail scratch upper arm god saved chain sped away bike appeared 2 boy first bike 2 second bike working together tandem many incident occurred road policeman posted opposite church
3302,Staring,0,1,0,staring
3303,A divorced man who lived beside us had custody of his two daughters .He will wait until when they are 1 year 3 months and then he will rape them.,0,1,0,divorced man lived beside u custody two daughter wait 1 year 3 month rape
3304,the guy kept on following me untill i reached inside my campus.,1,1,0,guy kept following untill reached inside campus
3305,chain snatching,0,0,0,chain snatching
3306,a lady wearing a short dress and heels walks by a group of men standing by the road.the men start shouting at her of how she was indecently dressed the girl was forced to run off on heels fearing she could undressed,1,0,0,lady wearing short dress heel walk group men standing road men start shouting indecently dressed girl forced run heel fearing could undressed
3307,harassment in the bus during the day,1,1,1,harassment bus day
3308,I was whistled upon while I was travelling out during the evening hours .,0,0,0,whistled upon travelling evening hour
3309,Boys took pictures on dapoli beach of girls.,0,0,0,boy took picture dapoli beach girl
3310,once a girl was coming from her office and 45 boys surrounded her.they started teasing her and were trying to physically damage her.,0,0,1,girl coming office 45 boy surrounded started teasing trying physically damage
3311,my neighbour was attacked by three men at night when her husband was on nightshift and raped her,0,0,0,neighbour attacked three men night husband nightshift raped
3312,When we went shopping for sari there the shopkeeper touched my sister in an inappropriate way when he was helping her with sari.,0,0,1,went shopping sari shopkeeper touched sister inappropriate way helping sari
3313,"one day in the evening I was passing at makina stage, I saw a man whistling to a woman passing.",0,0,0,one day evening passing makina stage saw man whistling woman passing
3314,stalked by an auto rickshaw driver,0,0,0,stalked auto rickshaw driver
3315,he called me up and talked indecently to me,1,0,0,called talked indecently
3316,"Yes,near the ground ogling, stalking and  whistling",1,1,0,yes near ground ogling stalking whistling
3317,2 guys on a bike tried snatching a lady's chain.After a couple of days they were seen commenting on girls who were leaving their college.,1,0,0,2 guy bike tried snatching lady chain couple day seen commenting girl leaving college
3318,catcalling and commenting,1,0,0,catcalling commenting
3319,night 9.30 pm,0,0,0,night 9 30 pm
3320,"It happened in the month of May 2014. I was waiting for bus to go home back from duty.I had to wait for more than half an hour. There were three to four members scattered in the bus stop.suddenly an auto passed by my side. I gave way and stood aside just to see who all are there in that auto.I could not see any passengers .suddenly that auto stopped just 23 yards away from me.The auto man got down and started facing me and calling me with a mischievous smile. I got scared. Seeing  my fearful face he came nearer. I was helpless. there were no ladies standing near me. i was so scared so scared ,praying and calling God inside silently. All of a sudden my bus came and i just rushed into it. I was saved .Thank GOd. I came home and told my husband he asked me if i noted the number of the autorickshaw. How can i at that time .My mind was not working out of fear. nothing could be done. At times these are pathetic situation for Ladies .",0,0,0,happened month may 2014 waiting bus go home back duty wait half hour three four member scattered bus stop suddenly auto passed side gave way stood aside see auto could not see passenger suddenly auto stopped 23 yard away auto man got started facing calling mischievous smile got scared seeing fearful face came nearer helpless no lady standing near scared scared praying calling god inside silently sudden bus came rushed saved thank god came home told husband asked noted number autorickshaw time mind not working fear nothing could done time pathetic situation lady
3321,there was a person who was stalking me when i was shopping with my mother and he was passing dirty comments.,1,0,0,person stalking shopping mother passing dirty comment
3322,"Staring and by making indecent expressions and touching and all.All this happens generally in Metro and Buses.Even if you just pass by the bus stands in the evening,you might be the victim of inappropriate comments and all.",1,1,1,staring making indecent expression touching happens generally metro bus even pas bus stand evening might victim inappropriate comment
3323,My friend and me were playing and the guard threw his phone no.in a chit and ran away and was again and again harassing her,1,1,0,friend playing guard threw phone no chit ran away harassing
3324,someone was following one lady on the street of jyatha. it has basically poor street light and narrow path.,0,0,0,someone following one lady street jyatha basically poor street light narrow path
3325,I was in metro yellow line (between kashmeree gate and rajiv chowk) in the afternoon with my friend.Touching.It was not appropriate and my friend wasn't feeling comfortable.,0,0,1,metro yellow line kashmeree gate rajiv chowk afternoon friend touching not appropriate friend feeling comfortable
3326,"A young man moved passe me along the street and touched my buttocks.When I tried retaliating everyone turned against me.They said I claim to be a virgin, very beautiful and a Virgin Mary.I felt embarrassed and shocked as some females joint in throwing insults at me.",0,0,1,young man moved passe along street touched buttock tried retaliating everyone turned said claim virgin beautiful virgin mary felt embarrassed shocked female joint throwing insult
3327,followed by 2 bikers on different bikes,0,0,0,followed 2 bikers different bike
3328,"I was waiting for a bus for Bhiwandi. I noticed a man who was looking at me in a lewd manner and whenever i looked at him he looked away as if to indicate nothing his happening. So i was boarding my bus when he deliberately stood behind me allowed me to go ahead. I knew he wanted to touch me in someway or the other. And he did, but i did not fucking give up and held him by his collar and complained to the conductor who beat him up and dragged him away.",0,0,1,waiting bus bhiwandi noticed man looking lewd manner whenever looked looked away indicate nothing happening boarding bus deliberately stood behind allowed go ahead knew wanted touch someway not fucking give held collar complained conductor beat dragged away
3329,She does not feels safe at the station. She faces assault almost everyday.,1,0,0,not feel safe station face assault almost everyday
3330,He does not feel safe at the stations because of the crowd,0,0,1,not feel safe station crowd
3331,I was at the bus stop and a man tried to harrass me.,0,0,1,bus stop man tried harrass
3332,on my way home there was this man who was calling out on people then pretends not to have called them.he did the same to me but mine was different ashe started following me while calling out loud.i stopped and asked him what he wanted only to find out that he wanted me to follow him to his house,0,0,0,way home man calling people pretend not called mine different ashe started following calling loud stopped asked wanted find wanted follow house
3333,when i was coming to school there i meet grp of boys. they were schl students. i was carrying tiffin for my sister in one hand and bundle of exercise book on other hand. they were starring at me and after few minutes they start passing bad comment by saying they can carry me along with my stuffs.,1,0,0,coming school meet grp boy schl student carrying tiffin sister one hand bundle exercise book hand starring minute start passing bad comment saying carry along stuff
3334,I was stared at on the bus,0,1,0,stared bus
3335,I SAW AT CHHUCHEPATI SOME GUYS ARE TAKING PICTURES OF A GIRL ............N GIRL IS SAYING NO NO.........THEY DONT WANT TO LITION,0,0,0,saw chhuchepati guy taking picture girl n girl saying no no dont want lition
3336,someone I know waz grabbed and touched in a metro,1,1,1,someone know waz grabbed touched metro
3337,Catcalls and bad commenting,1,0,0,catcall bad commenting
3338,"once I was travelling in a public vehicle, an old man touched me at my private part. I felt uncomfortable and moved to another place.",0,0,1,travelling public vehicle old man touched private part felt uncomfortable moved another place
3339,I was with my cousins in the playing arena near the foodcourt. We were gokarting and a man started filming us. I was unaware till my uncle went up to the man and smashed his phone.,0,0,0,cousin playing arena near foodcourt gokarting man started filming u unaware till uncle went man smashed phone
3340,a 5 year old girl was touched on her private part by a young man who tried to defile her,0,0,0,5 year old girl touched private part young man tried defile
3341,"There was a time when some woman used to live with many girls orphans young girls but she was using them as sex workers,she used to take money from old men in exchange she would give the girls to men for sexual plessure",0,0,0,time woman used live many girl orphan young girl using sex worker used take money old men exchange would give girl men sexual plessure
3342,a guy was commenting on me when Iw asgoing to my home,1,0,1,guy commenting iw asgoing home
3343,Some guys were asking me to give them money,0,0,0,guy asking give money
3344,a mother was caught and raped by some rasta at the dam site,0,0,0,mother caught raped rasta dam site
3345,"while i was goin to the college, a group of boys commented in my dressing style.",1,0,0,goin college group boy commented dressing style
3346,I was commented at and touched/groped.,1,0,1,commented touched groped
3347,"I was going market and at that time two three boys were teasing one girl. The girl really seems scary and she was sweating. I also followed them. The girl was walking very fastly. The boys did not stop following her, they end up going her home and their was big issue on that time.",0,0,0,going market time two three boy teasing one girl girl really seems scary sweating also followed girl walking fastly boy not stop following end going home big issue time
3348,"It happened when I was a kid,so dont remember much just that he touched me badly.It happened in the evening.",0,0,1,happened kid dont remember much touched badly happened evening
3349,"When I was 14 years old, a man tried to touch my private body parts in the name of playing hide and seek.",0,0,1,14 year old man tried touch private body part name playing hide seek
3350,"A young girl of about 17 years was sent to buy at night.On her way back,she was stopped by one gentle man and at that very moment he asked her to be his lover.She refused.He decided to harass the girl",0,0,0,young girl 17 year sent buy night way back stopped one gentle man moment asked lover refused decided harass girl
3351,I was harassed in the train,0,0,1,harassed train
3352,"While we were in a bus in karol bagh, a boy was staring at us in an inappropriate manner.This happened in the evening around 6 months back.",1,1,0,bus karol bagh boy staring u inappropriate manner happened evening around 6 month back
3353,i experieced a chain snatching incident in the area .its not safe for anyone due to improper lighting,1,0,0,experieced chain snatching incident area not safe anyone due improper lighting
3354,While i was in a crowded bus one of the guy touched me and acted as if it was by mistake but he kept on doing it.,0,0,1,crowded bus one guy touched acted mistake kept
3355,"we were four girls walking when we saw some boys approach us and they began to cal one of us when she ignored them, they started insulting her",0,0,0,four girl walking saw boy approach u began cal one u ignored started insulting
3356,"During evening while travelling , even when I was wearing a simple tee and jeans the guys lecherous eyes won't turn back till the time he didn't comment , or started touching me .",1,1,1,evening travelling even wearing simple tee jean guy lecherous eye turn back till time comment started touching
3357,I saw a man trying to touch a woman's breast inside a packed public bus.,0,0,1,saw man trying touch woman breast inside packed public bus
3358,"Nothing much happened, but still security is a concern",1,0,0,nothing much happened still security concern
3359,Happened to another passenger. she was harassed for the dress she was wearing. two guys we passing comments on her.,1,0,0,happened another passenger harassed dress wearing two guy passing comment
3360,"I was travelling back home, but since there was lot of crowd on the road side, i did not get the rickshaw. Hence i decided to walk down. I did call my husband to pick me up, but till he comes instead of waiting i decided to walk. I started walking from Thane station after crossing the Alok hotel's backside road, some group of young drummers started following me at first I ignored by later they started passing comment i could not do anything but decided to keep walking silently. They were following me till my husband came. On seeing my husband they just ran away and some of they stopped under the pretext of smokeThane Station road, near aalok hotel",0,0,0,travelling back home since lot crowd road side not get rickshaw hence decided walk call husband pick till come instead waiting decided walk started walking thane station crossing alok hotel backside road group young drummer started following first ignored later started passing comment could not anything decided keep walking silently following till husband came seeing husband ran away stopped pretext smokethane station road near aalok hotel
3361,cellphone got snatched.,0,0,0,cellphone got snatched
3362,MY FRIENDS AND I WENT TO GIRGAON CHOWPATTY. WHILE WE WERE WALKING A GROUP OF BOYS WAS FOLLOWING. INITIALLY WE THOUGHT IT WAS COINCIDENCE BUT SOON REALISED THAT THEY WERE FOLLOWING US SO WE ALL DECIDED TO CHANGE OUR ROUTE.,0,1,0,friend went girgaon chowpatty walking group boy following initially thought coincidence soon realised following u decided change route
3363,Chain snatching,0,0,0,chain snatching
3364,sexually harassed in a school by her own teacher. teacher used to touch her private areas and abuse her sexually.,0,0,1,sexually harassed school teacher teacher used touch private area abuse sexually
3365,here the condition is really very bad.Its actually very difficult to walk around in envening and nigt,1,1,1,condition really bad actually difficult walk around envening nigt
3366,THIS SURVEY IS CARRIED BY SAFECITY (RED DOT FOUNDATION) ALONG WITH ITS SAFETY AUDIT AT STREET MARKETS IN MUMBAI.,0,0,1,survey carried safecity red dot foundation along safety audit street market mumbai
3367,I overheard some comments being passed on a girl at the metro station.It happened in the evening around 6.,1,1,0,overheard comment passed girl metro station happened evening around 6
3368,at night chain snatching in bus,1,0,1,night chain snatching bus
3369,eve treasing .wistles.saying unnecessary stuffs and some time touching,1,0,1,eve treasing wistles saying unnecessary stuff time touching
3370,boys from some nearby slum were whistling,0,0,0,boy nearby slum whistling
3371,My relative touches me everyday i feel so harassed,0,0,1,relative touch everyday feel harassed
3372,People commented filthy comments while I was out during afternoon .,1,0,0,people commented filthy comment afternoon
3373,"I was traveling in the bus, I saw a girl being touched by a boy in her private parts.",0,0,1,traveling bus saw girl touched boy private part
3374,I was walking towards olympic stage to take a bus and some men working in a welding shop strted talking in low tones and they all turned and looked at me.,0,1,0,walking towards olympic stage take bus men working welding shop strted talking low tone turned looked
3375,one afternoon I was walking with a friend of mine when we met some boys at a corner and they started commenting on my friend,1,0,0,one afternoon walking friend mine met boy corner started commenting friend
3376,my friend and I was eveteased by one passerby on bike.HE took rounds and passed us several times,0,1,0,friend eveteased one passerby bike took round passed u several time
3377,as usual after college i was on my way back to my hostel and some local guys called me chinki..,1,0,0,usual college way back hostel local guy called chinki
3378,sexual invites,1,1,1,sexual invite
3379,The person following my sister and passed comments and tried to touch her.Dongri from Sabu Siddique hospital to Shalimar.,1,1,1,person following sister passed comment tried touch dongri sabu siddique hospital shalimar
3380,it was really bad.,1,1,0,really bad
3381,"It was a few months ago.This man who has been making advances towards me touched my breats while I went to buy drinks and we were discussing .I became angry and gave him a slap on his face.He too became so angry and wanted to beat me up.When people came and asked what the problem was ,he said i insulted him.Imagin!",0,0,0,month ago man making advance towards touched breats went buy drink discussing became angry gave slap face became angry wanted beat people came asked problem said insulted imagin
3382,"Staring unnecessarily, commenting weird stuff",0,0,1,staring unnecessarily commenting weird stuff
3383,"Felt harassed and humiliated with me taking pictures, passing comments.",1,0,0,felt harassed humiliated taking picture passing comment
3384,Rickshaw wala tried to take a girl into the wrong way and called over his friends to come for her.It happened in the morning.,0,0,0,rickshaw wala tried take girl wrong way called friend come happened morning
3385,touched me at an inappropriate place,0,0,1,touched inappropriate place
3386,"This happened in the last 30 days during the night. While I was on my way to home I noticed a group of 45 boys sitting at one corner. When a girl was crossing that way, these guys commented on her. She ignored and went by.",1,0,0,happened last 30 day night way home noticed group 45 boy sitting one corner girl crossing way guy commented ignored went
3387,Disturbed by guys commenting and staring,1,0,0,disturbed guy commenting staring
3388,A guy passed comments and tried to touch me at the back.It happened around 7pm.,1,1,0,guy passed comment tried touch back happened around 7pm
3389,some group of guys followed me and my friend on the way to school and we had to change the route,0,0,0,group guy followed friend way school change route
3390,"On 13th cross,8th main, an auto rickshaw man asked for sexual favours showing money. I couldn't understand at first because of language problem but later I understood when he showed me the middle finger.",0,0,0,13th cross 8th main auto rickshaw man asked sexual favour showing money understand first language problem later understood showed middle finger
3391,Me and my sister were going to shopping to buy cloths. while walking we encountered the group of boys and they started teasing my sister and commenting on her and inviting her to movie. We were embarrassed but couldn't take a stand. We just avoid them and walk along.,1,0,0,sister going shopping buy cloth walking encountered group boy started teasing sister commenting inviting movie embarrassed take stand avoid walk along
3392,misbehaved,1,0,1,misbehaved
3393,misbehaved,1,1,0,misbehaved
3394,in the evening try to touch me on the bus stand,0,0,1,evening try touch bus stand
3395,Staring,1,0,0,staring
3396,I was in the car with my uncle and my sister alongwith my uncle's friend going to my village and my uncle touched me in an inappropriate place.,0,0,1,car uncle sister alongwith uncle friend going village uncle touched inappropriate place
3397,Biker passed a comment and asked to come with him.It happened in the evening.,1,0,1,biker passed comment asked come happened evening
3398,misbehaved,1,1,0,misbehaved
3399,"the boys in group started staring, hooting asking personal information and commenting about my body figure",1,1,0,boy group started staring hooting asking personal information commenting body figure
3400,I am a 16 year old married to a young boy of 25 years.We agreed that I will be going to school while in his house but suprisingly he wants us to start having children out of my wish. It has brought serious problems that he tears my pants because he wants us to have sex even in my unsafe period .,0,0,0,16 year old married young boy 25 year agreed going school house suprisingly want u start child wish brought serious problem tear pant want u sex even unsafe period
3401,"while travelling in a public vehicle, a guy touched me in a private part.",0,0,1,travelling public vehicle guy touched private part
3402,"n the eyes of many, the offices of Pakistan are filled with lecherous bosses. All too often, working women have tales of their perversions the lesser ones include gaze and glance, the occasional grope, the unwanted text message, the innuendo the bigger ones include invitations to meet outside the office, over lunch or dinner  with plum assignments, promotions, job security and professional reputations hanging in the balance.Resignation is no guarantee of reprieve there are reference letters to be obtained, future employment to be worried about. In an expensive, inflationwracked and increasingly competitive Pakistani workplace, there are many women who continue to be targets for men with power.The arithmetic of want and need is in display divorced women, single mothers, the older and the unmarried are particularly vulnerable to harassment. In the words of one single mother who endured 10 years of harassment, the pursuit is constant, and any attempt to escape is punished further with denials of promotions and humiliation before colleagues. Coworkers, often witnesses, say nothing, eager to avoid a situation that could result in retaliation, a loss of their own positions. Sexual harassment from superiors is hence often coupled with isolation by colleagues who watch, witness and withdraw. The harassed are not only the persecuted but also the pariah.There is a law against all this in Pakistan. The Protection Against Harassment of Women at the Workplace Act 2010, which will be six years old, is a thorough document. The code of conduct included in it defines harassment as any unwelcome sexual advance, request for sexual favours or other verbal or written communication or physical conduct of a sexual nature, or sexually demeaning attitudes, causing interference with work performance or creating an intimidating, hostile or offensive work environment, or the attempt to punish the complainant for refusal to comply with such a request or is made a condition for employment.It goes on to add that the above is unacceptable behaviour in the organisation and at the workplace, including in any interaction or situation that is linked to official work or official activity outside the office.The abuse of authority, creating a hostile work environment, and retaliation are the three categories that mandate action against a harasser. Detailed stipulations are set out for the establishment of investigative committees, ombudspersons, etc, who are charged with resolving the issues raised. A range of penalties from censure to outright dismissal are postulated. All employers are required to display the code of conduct prominently on their premises.When the law was passed in 2010, it was feted as a success. It would take time for its provisions to change the culture of the workplace, the more circumspect said. Change comes slowly but a law is a first step a legislative commitment supported by elected representatives signals that the path ahead will be a different one, in this case one where the harassment of women in the workplace would not be permitted.Not much has happened since then. Harassment is still rampant in the workplace (the majority of workplaces have little idea as to what the code of conduct is, let alone of the requirement to display it visibly in employee areas).Women still regularly report being verbally harassed and even physically assaulted by their superiors who, making calculations regarding their need for a job, their desire to get ahead, their inability to refuse, unabashedly continue with such acts. In the face of unwanted advances, Pakistans women continue to find themselves alone, unsure of where to take their complaints and how to protect themselves.Even in the development sector, where the very agenda of many organisations is to empower women, similar problems persist. In one, a cofounder of an organisation faced so much harassment by a male colleague that she was ultimately forced out. New, more pliant women hired to take her position have since complained of similar problems. The man in question, however, remains untouched, undoubtedly displaying similarly harassing behaviour to new prey. Other men have come to his defence  perhaps recognising their own behaviour in those of others and eager to ensure that no one gets punished.Misogyny is manufactured in two major flavours in Pakistan. The first is on the premises of religious obscurantists whose hankering for the reinstatement of a strictly segregated society sees the harassmentfilled workplace as a grim substantiation of their warnings. Women should not be in the workplace at all, the male conscience is unable to police itself.The second, one that wrongly labels itself as liberal and progressive, imagines it to mean a licence to harass and harangue. A womans willingness to put up and shut up is, in its mind, the product of this progressivism, its illogical mindset equating women in the public sphere with women sexually available to all men who may want them. The two flavours compete, their poisons infecting the working lives of women  doctors, lawyers, shopkeepers, bankers, teachers, professors and countless others  who are daily forcefed these bitter morsels of misogyny.Laws alone cannot change society the sexual harassment of women (and nearly everyone who reads this article either knows someone or is someone who has faced harassment) continues because it is considered permissible, something women ask for when they leave their homes.This belief is reflected all the time and everywhere in Pakistan, in soap operas that vilify working women as predators out to seduce innocent men, to workplace conversations in which men dissect the desirability of their female colleagues, their participation often a measure of a masculinity that fears competition from women. In the matter of sexual harassment in Pakistans workplaces, there are the guilty and the very guilty, they are far too many men complicit, quiet, eager to embrace or enforce their right to harass.",0,0,1,n eye many office pakistan filled lecherous boss often working woman tale perversion lesser one include gaze glance occasional grope unwanted text message innuendo bigger one include invitation meet outside office lunch dinner plum assignment promotion job security professional reputation hanging balance resignation no guarantee reprieve reference letter obtained future employment worried expensive inflationwracked increasingly competitive pakistani workplace many woman continue target men power arithmetic want need display divorced woman single mother older unmarried particularly vulnerable harassment word one single mother endured 10 year harassment pursuit constant attempt escape punished denial promotion humiliation colleague coworkers often witness say nothing eager avoid situation could result retaliation loss position sexual harassment superior hence often coupled isolation colleague watch witness withdraw harassed not persecuted also pariah law pakistan protection harassment woman workplace act 2010 six year old thorough document code conduct included defines harassment unwelcome sexual advance request sexual favour verbal written communication physical conduct sexual nature sexually demeaning attitude causing interference work performance creating intimidating hostile offensive work environment attempt punish complainant refusal comply request made condition employment go add unacceptable behaviour organisation workplace including interaction situation linked official work official activity outside office abuse authority creating hostile work environment retaliation three category mandate action harasser detailed stipulation set establishment investigative committee ombudspersons etc charged resolving issue raised range penalty censure outright dismissal postulated employer required display code conduct prominently premise law passed 2010 feted success would take time provision change culture workplace circumspect said change come slowly law first step legislative commitment supported elected representative signal path ahead different one case one harassment woman workplace would not permitted not much happened since harassment still rampant workplace majority workplace little idea code conduct let alone requirement display visibly employee area woman still regularly report verbally harassed even physically assaulted superior making calculation regarding need job desire get ahead inability refuse unabashedly continue act face unwanted advance pakistan woman continue find alone unsure take complaint protect even development sector agenda many organisation empower woman similar problem persist one cofounder organisation faced much harassment male colleague ultimately forced new pliant woman hired take position since complained similar problem man question however remains untouched undoubtedly displaying similarly harassing behaviour new prey men come defence perhaps recognising behaviour others eager ensure no one get punished misogyny manufactured two major flavour pakistan first premise religious obscurantist whose hankering reinstatement strictly segregated society see harassmentfilled workplace grim substantiation warning woman not workplace male conscience unable police second one wrongly label liberal progressive imago mean licence harass harangue woman willingness put shut mind product progressivism illogical mindset equating woman public sphere woman sexually available men may want two flavour compete poison infecting working life woman doctor lawyer shopkeeper banker teacher professor countless others daily forcefed bitter morsel misogyny law alone cannot change society sexual harassment woman nearly everyone read article either know someone someone faced harassment continues considered permissible something woman ask leave home belief reflected time everywhere pakistan soap opera vilify working woman predator seduce innocent men workplace conversation men dissect desirability female colleague participation often measure masculinity fear competition woman matter sexual harassment pakistan workplace guilty guilty far many men complicit quiet eager embrace enforce right harass
3403,Commenting in mehram nagar near delhi cantt  in the evening.,1,0,0,commenting mehram nagar near delhi cantt evening
3404,harassment,1,0,0,harassment
3405,I was going back to home around 8 in the evening when a stranger forcibly held me and tried to molest me. He used certain cheap language as if he was trying to convince me for an intercourse session. I was lucky enough to break free and flee.,0,0,1,going back home around 8 evening stranger forcibly held tried molest used certain cheap language trying convince intercourse session lucky enough break free flee
3406,In bus one man tried to touch me I felt so uncomfortable. It felt like I am getting negative vibes from them.,0,0,1,bus one man tried touch felt uncomfortable felt like getting negative vibe
3407,A guy working at our college canteen was taking pictures and making videos of me and my friends during morning hours .,0,0,0,guy working college canteen taking picture making video friend morning hour
3408,Age 15 yearsCommenting at Leh Bazaar when I was shopping (day time),1,0,0,age 15 yearscommenting leh bazaar shopping day time
3409,Misbehaviour by a guy,1,1,0,misbehaviour guy
3410,guy followed me till my home and misbehaved right in front of my house,1,0,0,guy followed till home misbehaved right front house
3411,in night a guy tried to touch me,0,0,1,night guy tried touch
3412,they say that they will go and launch with us inside the hotel,0,0,0,say go launch u inside hotel
3413,touching,0,0,1,touching
3414,I didnt witness but was communicated the same.2 men on bike snatched the chain of a lady and dashed off.It happened during the night.,0,0,0,didnt witness communicated 2 men bike snatched chain lady dashed happened night
3415,as I was fetching water some girls wearing short dresses came to fetch water too .the men who were there started questioning their dressing the girls screamed as they were about to be stripped,1,0,0,fetching water girl wearing short dress came fetch water men started questioning dressing girl screamed stripped
3416,stalking...,1,1,0,stalking
3417,a girl was coming from school and she met a man who was driving. The man called her and promised to buy her anything she needed and even gave her his contacts,0,0,0,girl coming school met man driving man called promised buy anything needed even gave contact
3418,"as I was taking my son to school in  the morning, I met an old man wo touched my buttocks.  When I asked he wanted to beat me up till I ran to the DO's place to report",0,0,0,taking son school morning met old man wo touched buttock asked wanted beat till ran place report
3419,"at evening time ,while returning from tutions ,i face comments n all.",1,0,0,evening time returning tutions face comment n
3420,it was really bad.,1,1,0,really bad
3421,"A group of young boys who cluster together in a group, usually cat call or comment at women who pass by.",1,0,0,group young boy cluster together group usually cat call comment woman pas
3422,"happened in the main market, a group of boys passed by and started commenting",1,0,0,happened main market group boy passed started commenting
3423,A teacher touched my private parts when I left the toilet,0,0,1,teacher touched private part left toilet
3424,a car inviting by hooting to sit in the car,0,0,0,car inviting hooting sit car
3425,"The incident took place when I was in college. While passing through the corridors group of boys, they used to pass comments and tease. This situation discouraged me to walk through the corridor.",1,0,0,incident took place college passing corridor group boy used pas comment tease situation discouraged walk corridor
3426,Two men on a bike tried snatching my dupatta and passed lewd comments when i was resisting it.,1,0,1,two men bike tried snatching dupatta passed lewd comment resisting
3427,"this happened around 730800 pm where i was waiting for the train to come at the platform of laxminagar, at that time some boys tried to touch me and comment.",1,0,0,happened around 730800 pm waiting train come platform laxminagar time boy tried touch comment
3428,a friend of mine was abused by a man in the market. he passed dirty comments and tried touching her inappropriately,0,0,1,friend mine abused man market passed dirty comment tried touching inappropriately
3429,"she was sent to a neighbour by the grandparents to ask for some little salt.the neighbour saw her and wanted to touch her,she ran",0,0,1,sent neighbour grandparent ask little salt neighbour saw wanted touch ran
3430,"I was walking at 8pm, Ahmedabad, behind Gujurat University, a man followed me, when there was a space in the street he grabbed me by both hands, I shout as loud as possible and run away to the police station. He didn't follow me.",0,0,0,walking 8pm ahmedabad behind gujurat university man followed space street grabbed hand shout loud possible run away police station follow
3431,A group of boys followed us and asked us for our number,0,0,0,group boy followed u asked u number
3432,comments passed at me and my group nearby the ticket counter.,1,0,0,comment passed group nearby ticket counter
3433,outside the metro station there are auto rickshaw vallas standing at literally holding the people's hand to let them sit in their vehicle.,0,0,1,outside metro station auto rickshaw vallas standing literally holding people hand let sit vehicle
3434,"it was raining at 800 p.m. and a stranger gave me lift. I sat behind with other two men.  They passed my alighting point and when I asked loudly my mouth was covered, the two men raped me and  dropped me at Kangemi.",0,0,0,raining 800 p stranger gave lift sat behind two men passed alighting point asked loudly mouth covered two men raped dropped kangemi
3435,i heard lots of man saying bad and vulgar words in public place even tries to touch my body parts and whistles.,1,1,1,heard lot man saying bad vulgar word public place even try touch body part whistle
3436,"This incident took place in the evening,an year ago.A person was exposing private parts,inviting for sexual activity.A person was in a car and stopped for directions and was sitting naked in the car.",0,0,0,incident took place evening year ago person exposing private part inviting sexual activity person car stopped direction sitting naked car
3437,While walking some men or say boys were staring and commenting.It happened in the evening.,1,1,0,walking men say boy staring commenting happened evening
3438,I have been teased badly my boys on the streets.,1,1,0,teased badly boy street
3439,Boys touched me and i felt very bad to go outside of home,0,0,0,boy touched felt bad go outside home
3440,"I was outside a shop waiting for someone when a man came from behind and touched me, commented something and walked away.",1,0,1,outside shop waiting someone man came behind touched commented something walked away
3441,harrased in the evening,1,0,0,harrased evening
3442,there was a conductor who was trying trying to touch my body of a girl inside a micro bus.,0,0,1,conductor trying trying touch body girl inside micro bus
